,rotulo_sentimento,bpm,genero_Classical,genero_Funk,genero_Hip-Hop,genero_Pop,genero_Rock,humor_Emotional,humor_Energetic,humor_Joyful,humor_Melancholic,humor_Powerful,humor_Soothing,energia_Low,dancabilidade_Low,dancabilidade_Medium
0,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
1,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
3,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
4,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
5,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
6,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
7,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
8,1,0.3060282788586433,False,False,False,False,True,False,True,False,False,False,False,False,False,True
9,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
10,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
11,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
12,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
13,3,-0.6196800379735522,False,False,False,False,True,True,False,False,False,False,False,True,False,True
14,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
15,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
16,2,-1.3003479179972253,False,False,False,False,False,False,False,False,False,False,False,True,True,False
17,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
18,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
19,0,0.46938857006432483,False,True,False,False,False,False,True,False,False,False,False,False,False,False
20,0,1.6945907541069365,False,False,False,True,False,False,False,True,False,False,False,False,False,False
21,2,-1.028080765987756,True,False,False,False,False,False,False,False,False,False,True,True,True,False
22,1,0.8777892980785288,False,False,True,False,False,False,False,False,False,True,False,False,False,False
23,3,-0.8374937595811276,False,False,False,True,False,False,False,False,True,False,False,True,True,False
